"","X","Name","Danceability","Energy","Key","Loudness","Mode","Speechness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Uri","Duration_ms","time_signature","Genre","Overall_Genre"
"1907",63917,"The Autumn Sky",0.257,0.337,7,-23.222,0,0.217,0.99,0.836,0.0972,0.032,73.992,"spotify:track:0vPckub0YRuP3M6d3fgDsm",251,3,"darkambient","Ambient"
"1908",63918,"Night Alone",0.129,0.0764,6,-31.57,1,0.0434,0.959,0.853,0.0704,0.0387,145.777,"spotify:track:43SQFTmAu89Egnby3lJRKW",598,3,"darkambient","Ambient"
"1909",63919,"With The Stars As Witness",0.158,0.189,3,-19.92,0,0.0389,0.394,0.921,0.123,0.0322,142.492,"spotify:track:0wS7fXFJVZET6BcDZdmpWp",544,3,"darkambient","Ambient"
"1910",63920,"The Wilderness",0.0885,0.392,1,-20.323,1,0.0847,0.887,0.678,0.348,0.0292,86.074,"spotify:track:0ClP2Xb9B6j6VnqvCymZn4",692,5,"darkambient","Ambient"
"1911",63921,"Lost In Reveries",0.107,0.322,9,-25.287,0,0.0683,0.389,0.86,0.112,0.0364,79.164,"spotify:track:0tiPAx0cdl0CwecRs2ZuIh",526,4,"darkambient","Ambient"
"1912",63922,"Silent Messenger",0.205,0.211,6,-22.743,0,0.0357,0.921,0.904,0.104,0.0814,87.732,"spotify:track:0DjKoPUJ0on6X9lwvE1o24",455,3,"darkambient","Ambient"
"1913",63923,"Oranur II IThe Third And Final R",0.0655,0.931,1,-7.196,1,0.276,0.136,0.844,0.193,0.0375,74.563,"spotify:track:4iXWvpiHGQFZYhJUFRs3FJ",657,5,"darkambient","Ambient"
"1914",63924,"Dark Eyes",0.168,0.864,6,-6.838,1,0.361,0.614,0.878,0.121,0.119,76.384,"spotify:track:2FfZ48fPycwpM14CZ5n58H",263,3,"darkambient","Ambient"
"1915",63925,"L5-H.O.M.E.S.",0.262,0.74,11,-8.831,1,0.0673,0.567,0.996,0.0855,0.0747,138.801,"spotify:track:37B5sabn8fCmlhZxs0xf2E",320,1,"darkambient","Ambient"
"1916",63926,"Coital Affirmation",0.229,0.838,0,-5.078,1,0.0814,0.288,0.934,0.374,0.161,140.444,"spotify:track:66ZGVPNMeAPd1IKCHLZETT",309,3,"darkambient","Ambient"
"1917",63927,"D.O.R.Manifestations",0.226,0.974,3,-9.459,0,0.132,0.129,0.984,0.122,0.0665,80.897,"spotify:track:4LACrPZ8wzxFncpDCpQ81S",300,1,"darkambient","Ambient"
"1918",63928,"Beyond The Wall Of Sleep",0.175,0.887,7,-6.443,1,0.108,0.137,0.895,0.112,0.0716,143.013,"spotify:track:2JEktxRRYhneoriu06YUol",290,4,"darkambient","Ambient"
"1919",63929,"Orop Desert EA S1954-1955",0.208,0.811,11,-6.313,0,0.113,0.481,0.904,0.62,0.0458,61.757,"spotify:track:2VOrcUO2adkuAb3vX3f4BK",501,4,"darkambient","Ambient"
"1920",63930,"Orena Orop Terria",0.129,0.59,5,-7.851,0,0.417,0.00136,0.997,0.377,0.0044,143.523,"spotify:track:0nV7uEx3lRtucuhZgHgaBU",505,4,"darkambient","Ambient"
"1921",63931,"The Core Men",0.157,0.354,1,-4.291,1,0.0776,0.0115,0.703,0.106,0.0356,109.776,"spotify:track:7y7zKTsaL5SM1mmpANtBsQ",479,3,"darkambient","Ambient"
"1922",63932,"We Just Got Tired The Emotional",0.0885,0.792,0,-9.096,1,0.162,0.971,0.855,0.435,0.021,85.629,"spotify:track:5vJVTAdXMAgKz3ih5DcSAK",484,4,"darkambient","Ambient"
"1923",63933,"You Can\t Wake Up",0.277,0.786,10,-5.631,0,0.0692,0.854,0.968,0.123,0.0718,73.573,"spotify:track:6Xqwq5hZaEcu2X15orKMEn",51,3,"darkambient","Ambient"
"1924",63934,"Death Car Display",0.154,0.845,8,-6.001,1,0.0773,0.568,0.000292,0.127,0.0265,95.123,"spotify:track:6p4WyDu5h6A6oysOgkloEs",337,3,"darkambient","Ambient"
"1925",63935,"Cannibal Communion",0.225,1,10,2.97,0,0.339,0.17,0.36,0.116,0.0289,125.969,"spotify:track:5yZxBJ9NryOhS5Vhn8IWmg",530,3,"darkambient","Ambient"
"1926",63936,"Panic Man",0.234,0.997,1,1.177,1,0.202,0.361,0.447,0.0976,0.0351,79.74,"spotify:track:34vNKuwdjW9ksOVpsiciMb",405,4,"darkambient","Ambient"
"1927",63937,"Urban Funk Campaign(Feraliminal Lycanthropizer)",0.141,0.988,3,-2.978,1,0.0768,0.0413,0.174,0.335,0.0231,102.926,"spotify:track:11J3FWUvTrpBNLEGHI0V7d",334,5,"darkambient","Ambient"
"1928",63938,"Custom Slaughtering",0.119,0.000215,1,-7.915,1,0.265,1.1e-05,0.638,0.228,0.0375,87.5,"spotify:track:7tRwT05Z95czJSqz3JlMQB",319,5,"darkambient","Ambient"
"1929",63939,"The Long Pig",0.433,0.994,5,-9.264,0,0.0656,0.932,0.946,0.117,0.962,144.252,"spotify:track:39hUilRNwkBtDDU59jfEsW",247,4,"darkambient","Ambient"
"1930",63940,"Meshaf IResh",0.172,0.84,1,-4.46,1,0.104,0.153,0.934,0.0617,0.0843,96.768,"spotify:track:6nX7AKfwBGiuJnB8uXtP0x",423,4,"darkambient","Ambient"
"1931",63941,"Butchermaster\s Meal",0.17,0.000253,3,-2.615,1,0.0572,0.000401,0.656,0.165,0.0769,60.519,"spotify:track:4W3PbD2lBzR3nXDMsQv2OO",279,3,"darkambient","Ambient"
"1932",63942,"Bind Torture Kill(B TK)",0.205,1,0,-4.25,1,0.193,0.527,0.971,0.151,0.0256,95.455,"spotify:track:5OxegGx0PVAK9dKaWsmKLJ",217,3,"darkambient","Ambient"
"1933",63943,"Untitled1",0.255,0.395,2,-13.722,1,0.0375,0.161,0.957,0.364,0.151,132.367,"spotify:track:0aZuClw0akhIxyF96tmBsY",369,3,"darkambient","Ambient"
"1934",63944,"Untitled2",0.162,0.372,8,-12.814,1,0.041,0.687,0.975,0.15,0.0376,75.431,"spotify:track:1D2rlmydqsQUHzlzoAzksv",458,4,"darkambient","Ambient"
"1935",63945,"Untitled3",0.216,0.148,2,-25.111,1,0.0375,0.404,0.896,0.105,0.11,66.86,"spotify:track:1Pb6BuIWPwBT6CwdXfYGXb",447,4,"darkambient","Ambient"
"1936",63946,"Untitled4",0.152,0.0835,5,-30.198,0,0.0335,0.882,0.538,0.113,0.0377,135.814,"spotify:track:154FMc0CMIDNQCnnJJVhXl",355,4,"darkambient","Ambient"
"1937",63947,"Untitled5",0.425,0.425,0,-11.963,1,0.0418,0.808,0.858,0.215,0.032,105.157,"spotify:track:3VakZKRahGCLJLSoa10Ji6",192,4,"darkambient","Ambient"
"1938",63948,"Untitled6",0.0746,0.213,8,-17.875,1,0.0457,0.561,0.88,0.109,0.0339,81.259,"spotify:track:7LvonJc9rldJ2XpCp5kyed",393,4,"darkambient","Ambient"
"1939",63949,"Untitled7",0.0916,0.469,9,-14.295,0,0.0374,0.829,0.973,0.373,0.0376,87.519,"spotify:track:0AtDjQn78yKDNRKLs5B2KP",342,4,"darkambient","Ambient"
"1940",63950,"Untitled8",0.16,0.334,5,-13.855,1,0.0414,0.245,0.979,0.533,0.03,130.588,"spotify:track:6Mn2QL5BRFccswpfp8I52Q",373,3,"darkambient","Ambient"
"1941",63951,"Untitled9",0.0604,0.358,11,-14.165,1,0.0526,0.451,0.754,0.112,0.0541,70.554,"spotify:track:7qmrip81OfbDmuzO8QR0p8",268,4,"darkambient","Ambient"
"1942",63952,"Untitled10",0.145,0.356,5,-18.382,1,0.0442,0.9,0.884,0.123,0.0301,70.328,"spotify:track:020LwRYQXk7xyJfC37DvLR",367,4,"darkambient","Ambient"
"1943",63953,"From Ancient Aeons",0.0765,0.236,10,-20.448,1,0.0369,0.386,0.832,0.292,0.0371,82.237,"spotify:track:4GiH4bT0GvzlkBIMHmIwYs",475,4,"darkambient","Ambient"
"1944",63954,"Aurora Borealis",0.289,0.316,5,-13.279,1,0.0384,0.133,0.841,0.0995,0.209,121.94,"spotify:track:6FIJYi788SCOigGWXAqE42",233,3,"darkambient","Ambient"
"1945",63955,"Tunturia(Part II)",0.237,0.0193,2,-13.223,0,0.056,0.911,0.775,0.118,0.0379,115.39,"spotify:track:0xMX6a4I07dq0cmIsXbmlz",131,3,"darkambient","Ambient"
"1946",63956,"Midnight Sun",0.166,0.346,1,-15.557,1,0.0405,0.908,0.944,0.117,0.0379,130.216,"spotify:track:2Z3lEp8YGLeEk4TlrEEFnP",439,4,"darkambient","Ambient"
"1947",63957,"Polar Night",0.0625,0.546,0,-18.269,0,0.0633,0.81,0.941,0.101,0.0768,64.974,"spotify:track:12AxI24HgZ0EV22m0yekY1",215,4,"darkambient","Ambient"
"1948",63958,"Echoesfroma Restless Sea",0.136,0.119,0,-24.271,1,0.0345,0.486,0.919,0.107,0.0314,78.932,"spotify:track:69hKhAFwiDxxmxdwnsGBkP",78,3,"darkambient","Ambient"
"1949",63959,"A Lamentfor Whales",0.147,0.407,1,-18.066,1,0.0454,0.947,0.745,0.0944,0.0379,76.315,"spotify:track:18P28sxgq8mwYa0lejpgiv",355,3,"darkambient","Ambient"
"1950",63960,"Interlude",0.212,0.31,8,-32.181,0,0.0909,0.993,0.971,0.234,0.0289,79.96,"spotify:track:3mpQKbx7HpScppPJ7mjs4b",44,1,"darkambient","Ambient"
"1951",63961,"Meditation Over Open Waters",0.0724,0.0693,5,-22.354,1,0.0415,0.912,0.901,0.122,0.0335,80.534,"spotify:track:6M382mNoQDsOoJ11motahI",460,4,"darkambient","Ambient"
"1952",63962,"The Transmission",0.0785,0.164,8,-21.531,0,0.0507,0.614,0.82,0.12,0.0398,177.637,"spotify:track:0PZmhIX4oTnPG0mUOIESmZ",179,3,"darkambient","Ambient"
"1953",63963,"Atmospheric Refraction",0.191,0.385,2,-16.29,1,0.0426,0.851,0.883,0.114,0.0365,67.741,"spotify:track:4056cFCtLy9zkxldk8brGk",312,4,"darkambient","Ambient"
"1954",63964,"Beneath",0.222,0.444,4,-18.413,0,0.0584,0.779,0.847,0.104,0.0348,128.465,"spotify:track:242Wg9uksMlDRzDIgwmBNP",408,5,"darkambient","Ambient"
"1955",63965,"Solitude",0.0846,0.37,6,-19.589,1,0.0585,0.912,0.929,0.0788,0.0347,85.406,"spotify:track:0oYyhAR7hnG2viVc6whvhS",599,4,"darkambient","Ambient"
"1956",63966,"The Deepestof Black Waters",0.18,0.43,2,-21.037,0,0.0993,0.152,0.822,0.153,0.08,132.028,"spotify:track:4MMxktm1pzqUj7rs9eo6sc",647,5,"darkambient","Ambient"
"1957",63967,"Ghost Inthe Machine",0.0835,0.392,1,-17.256,0,0.0838,0.000172,0.901,0.571,0.0354,69.544,"spotify:track:2OhIMKIgVPh3rotYKIYFhD",442,4,"darkambient","Ambient"
"1958",63968,"Primordial(Below Heavenand Earth)",0.229,0.403,2,-12.376,1,0.0548,0.523,0.912,0.307,0.0392,100.369,"spotify:track:6R6PTbTwweOPSQTbVCUbu7",451,5,"darkambient","Ambient"
"1959",63969,"Througha Corrupted Mind",0.0759,0.107,1,-16.535,1,0.043,0.000668,0.802,0.267,0.0283,82.636,"spotify:track:03fFvojAeZHrCqsNAHbjDM",338,4,"darkambient","Ambient"
"1960",63970,"With Tortured Affection",0.0641,0.461,10,-16.612,0,0.0759,0.311,0.222,0.138,0.0276,70.514,"spotify:track:5Bdh5M6BZdWS2a8rBITW6y",547,3,"darkambient","Ambient"
"1961",63971,"Looks ICould Kill",0.158,0.421,0,-15.876,0,0.0551,0.0043,0.000707,0.0462,0.0308,108.065,"spotify:track:3Boffxtigcxqk6gHxNW43X",264,1,"darkambient","Ambient"
"1962",63972,"Eternal Servantstothe Departed",0.158,0.528,5,-16.464,0,0.166,0.423,0.00483,0.116,0.0517,133.543,"spotify:track:2WaGpTNWuaIbyMKEzSU7BR",486,3,"darkambient","Ambient"
"1963",63973,"Eta Carinae",0.186,0.461,2,-18.065,1,0.0538,0.824,0.898,0.117,0.162,88.488,"spotify:track:1KOKkcInEqRIuVlMdDiROf",407,4,"darkambient","Ambient"
"1964",63974,"Blood Whisper",0.247,0.564,7,-16.781,1,0.0469,0.937,0.935,0.138,0.0352,104.333,"spotify:track:3gPLJ5e5dwqLulMrOH4nr1",456,1,"darkambient","Ambient"
"1965",63975,"Dhyan Chohane",0.0721,0.48,7,-17.883,0,0.0456,0.611,0.92,0.146,0.0489,73.337,"spotify:track:3isxXh1Upl8LkrZbl4AYBf",449,5,"darkambient","Ambient"
"1966",63976,"Eclipse",0.256,0.489,6,-14.959,1,0.0384,0.496,0.884,0.315,0.0389,135.318,"spotify:track:1UOxAKtHYlcY7ti18hujeB",371,5,"darkambient","Ambient"
"1967",63977,"Endless Deep",0.129,0.397,3,-17.455,1,0.0363,0.783,0.918,0.0959,0.109,82.73,"spotify:track:1Ru8b0fyeBxhgMPtGBBvXe",361,4,"darkambient","Ambient"
"1968",63978,"Faceof Fire",0.321,0.61,7,-13.755,1,0.0471,0.67,0.846,0.0965,0.126,93.282,"spotify:track:1T7gbjOgJVkKqkxjjWMqVb",347,1,"darkambient","Ambient"
"1969",63979,"Materia Prima",0.178,0.487,6,-14.878,0,0.182,0.891,0.961,0.112,0.0328,77.975,"spotify:track:4DUUvaJcmP83I9s4tAIHQS",459,3,"darkambient","Ambient"
